

[07/08/2023, 09:59:33] plate_detected; ['ABPME15']
[07/08/2023, 09:59:33] plate_detected; ['BFM3J15']
[07/08/2023, 09:59:33] plate_detected; ['BFPM3Z15']
[07/08/2023, 09:59:34] plate_detected; ['BPM3Z15']

[07/08/2023, 10:51:42] plate_detected; ['BNLJNN']
[07/08/2023, 10:51:43] plate_detected; ['BNL2D19']
[07/08/2023, 10:51:43] plate_detected; ['BNL2019']

[07/08/2023, 11:34:39] plate_detected; ['5026QM']
[07/08/2023, 11:34:39] white_plate_detected; ['5026QM']

[07/08/2023, 12:07:24] plate_detected; ['AHK3721']
[07/08/2023, 12:07:25] plate_detected; ['AKK672Y0']
[07/08/2023, 12:07:25] plate_detected; ['AKK6721']
[07/08/2023, 12:07:25] plate_detected; ['AKA61']
[07/08/2023, 12:07:26] plate_detected; ['AN6J1']

[07/08/2023, 12:15:11] plate_detected; ['AT3Z528']
[07/08/2023, 12:15:11] plate_detected; ['ATL6MR67']
[07/08/2023, 12:15:11] plate_detected; ['ATDL65R6']
[07/08/2023, 12:15:12] plate_detected; ['ATL667']
[07/08/2023, 12:15:12] plate_detected; ['ATL686']

[07/08/2023, 13:29:25] plate_detected; ['E50268H']
[07/08/2023, 13:29:26] plate_detected; ['5026Q5']
[07/08/2023, 13:29:26] plate_detected; ['5026Q7']
[07/08/2023, 13:29:26] plate_detected; ['026Q7']
[07/08/2023, 13:29:26] plate_detected; ['5026Q5']
[07/08/2023, 13:29:27] plate_detected; ['5226Q0']
[07/08/2023, 13:29:27] plate_detected; ['E502GQ01']
[07/08/2023, 13:29:27] plate_detected; ['E26671']
[07/08/2023, 13:29:27] plate_detected; ['5A76671']
[07/08/2023, 13:29:27] plate_detected; ['EF661']

[07/08/2023, 13:35:29] plate_detected; ['BBMS62']
[07/08/2023, 13:35:29] plate_detected; ['BBM9626']
[07/08/2023, 13:35:29] white_plate_detected; ['BBM9626']
[07/08/2023, 13:35:29] plate_detected; ['BBM62K']
[07/08/2023, 13:35:30] plate_detected; ['BM96265']

[07/08/2023, 13:49:05] plate_detected; ['BEE7158']
[07/08/2023, 13:49:05] white_plate_detected; ['BEE7158']
[07/08/2023, 13:49:06] plate_detected; ['BEE7158']
[07/08/2023, 13:49:06] plate_detected; ['AEE7158']
[07/08/2023, 13:49:06] plate_detected; ['BEE7158']
[07/08/2023, 13:49:07] plate_detected; ['BEE7158']
[07/08/2023, 13:49:07] plate_detected; ['BEE152']

[07/08/2023, 14:07:17] plate_detected; ['ANYTD97']

[07/08/2023, 14:14:40] plate_detected; ['BBM9626']
[07/08/2023, 14:14:40] white_plate_detected; ['BBM9626']
[07/08/2023, 14:14:41] plate_detected; ['BBM9626']
[07/08/2023, 14:14:41] plate_detected; ['A0W25']
[07/08/2023, 14:14:41] plate_detected; ['ADUMY60279']
[07/08/2023, 14:14:42] plate_detected; ['AAK629']

[07/08/2023, 14:43:13] plate_detected; ['A5139WE']
[07/08/2023, 14:43:14] plate_detected; ['3139VWE']
[07/08/2023, 14:43:14] plate_detected; ['3139WE']

[07/08/2023, 14:50:04] plate_detected; ['BFW28']
[07/08/2023, 14:50:04] plate_detected; ['BFM105']
[07/08/2023, 14:50:04] plate_detected; ['BFM1090']
[07/08/2023, 14:50:05] plate_detected; ['BFM1090']
[07/08/2023, 14:50:05] plate_detected; ['BFM1090']

[07/08/2023, 15:25:51] plate_detected; ['ANT3511']

[07/08/2023, 15:56:13] plate_detected; ['BBA1339']
[07/08/2023, 15:56:13] white_plate_detected; ['BBA1339']
[07/08/2023, 15:56:13] plate_detected; ['BBA1339']
[07/08/2023, 15:56:13] plate_detected; ['BBA1339']
[07/08/2023, 15:56:14] plate_detected; ['BBA1339']
[07/08/2023, 15:56:14] plate_detected; ['BBA1339']

[07/08/2023, 16:04:47] plate_detected; ['B5527']

[07/08/2023, 17:02:10] plate_detected; ['5552']
[07/08/2023, 17:02:10] plate_detected; ['E15']
[07/08/2023, 17:02:11] plate_detected; ['BHE2T2']
[07/08/2023, 17:02:11] plate_detected; ['BAHE57']

[07/08/2023, 17:08:43] plate_detected; ['NR1SC']
[07/08/2023, 17:08:44] plate_detected; ['ABU1580']

[07/08/2023, 17:09:46] plate_detected; ['BPM3215']
[07/08/2023, 17:09:46] white_plate_detected; ['BPM3215']
[07/08/2023, 17:09:46] plate_detected; ['BPM3215']
[07/08/2023, 17:09:47] plate_detected; ['BFM3215']
[07/08/2023, 17:09:47] plate_detected; ['ABWM3215']
[07/08/2023, 17:09:47] plate_detected; ['AWN3215']
[07/08/2023, 17:09:47] plate_detected; ['AFN215']

[07/08/2023, 17:44:41] plate_detected; ['B3502']
[07/08/2023, 17:44:41] plate_detected; ['BN5755']
[07/08/2023, 17:44:41] plate_detected; ['BN627']
[07/08/2023, 17:44:41] plate_detected; ['BN615']
[07/08/2023, 17:44:42] plate_detected; ['BAMN3215']
[07/08/2023, 17:44:42] plate_detected; ['BAM3215']

[07/08/2023, 18:03:25] plate_detected; ['ANVN52']
[07/08/2023, 18:03:26] plate_detected; ['ANVN2N']
[07/08/2023, 18:03:26] plate_detected; ['ANVNNNX']
[07/08/2023, 18:03:26] plate_detected; ['AN1N52']

[07/08/2023, 19:20:38] plate_detected; ['B8W5652']
[07/08/2023, 19:20:38] plate_detected; ['BKW22']
[07/08/2023, 19:20:39] plate_detected; ['A8N5625']

[07/08/2023, 19:24:45] plate_detected; ['ATK1232']
[07/08/2023, 19:24:45] plate_detected; ['ATK1232']
[07/08/2023, 19:24:46] plate_detected; ['ATK1232']
[07/08/2023, 19:24:46] plate_detected; ['ATK12Z32']
[07/08/2023, 19:24:46] plate_detected; ['ATK1232']
[07/08/2023, 19:24:46] plate_detected; ['ATK1232']
[07/08/2023, 19:24:47] plate_detected; ['ATKW252']
[07/08/2023, 19:24:47] plate_detected; ['ATN1232']
[07/08/2023, 19:24:47] plate_detected; ['ATK11R5']

[07/08/2023, 20:05:09] plate_detected; ['BPJV155']

[07/08/2023, 20:40:58] plate_detected; ['AB8U1552']
[07/08/2023, 20:40:58] plate_detected; ['AGRU1550']
[07/08/2023, 20:40:58] plate_detected; ['AGQ11552']
[07/08/2023, 20:40:59] plate_detected; ['AT311552']
[07/08/2023, 20:40:59] plate_detected; ['ARU1552']
[07/08/2023, 20:40:59] plate_detected; ['A2115E']

[07/08/2023, 21:25:27] plate_detected; ['ATL6860']
[07/08/2023, 21:25:28] plate_detected; ['ATL683']
[07/08/2023, 21:25:28] plate_detected; ['ATL6867']
[07/08/2023, 21:25:28] white_plate_detected; ['ATL6867']
[07/08/2023, 21:25:28] plate_detected; ['ATL6867']
[07/08/2023, 21:25:29] plate_detected; ['ATL60867']
[07/08/2023, 21:25:29] plate_detected; ['ATL69867']
[07/08/2023, 21:25:29] plate_detected; ['ATL6867']
[07/08/2023, 21:25:29] plate_detected; ['AT356']

[07/08/2023, 21:37:18] plate_detected; ['BAW122']
[07/08/2023, 21:37:18] plate_detected; ['ATW1252']
[07/08/2023, 21:37:19] plate_detected; ['ATN1SJ']

[07/08/2023, 22:33:01] plate_detected; ['9CR18']
[07/08/2023, 22:33:02] plate_detected; ['BWK915']
[07/08/2023, 22:33:02] plate_detected; ['BKBW915']
[07/08/2023, 22:33:02] plate_detected; ['BPWK1']
[07/08/2023, 22:33:03] plate_detected; ['BWK715']
[07/08/2023, 22:33:03] plate_detected; ['BK715']
[07/08/2023, 22:33:03] plate_detected; ['BAMK715']
[07/08/2023, 22:33:04] plate_detected; ['BPWN715']
[07/08/2023, 22:33:04] plate_detected; ['BAW475']

[07/08/2023, 23:47:55] plate_detected; ['BBA1337']
[07/08/2023, 23:47:56] plate_detected; ['BBUA1517']
[07/08/2023, 23:47:56] plate_detected; ['BHA1339']
[07/08/2023, 23:47:56] plate_detected; ['BHUA1339']
[07/08/2023, 23:47:57] plate_detected; ['BHA1339']
[07/08/2023, 23:47:57] plate_detected; ['RBA1339']
[07/08/2023, 23:47:57] plate_detected; ['RHA1359']
[07/08/2023, 23:47:57] plate_detected; ['RQUA1S6Y9']
[07/08/2023, 23:47:58] plate_detected; ['BNWFFY']
[07/08/2023, 23:47:58] plate_detected; ['B8W6F']
[07/08/2023, 23:47:58] plate_detected; ['B0W1S5']
[07/08/2023, 23:47:59] plate_detected; ['B81S5J']

[07/08/2023, 23:55:29] plate_detected; ['511855W']

[07/09/2023, 03:16:06] plate_detected; ['A2121'],,,,,,,,,,,,,,,,,,,/ydsdrfghuyftrde5sdrfgyuhytfrdesdrufitugoyi

[07/09/2023, 04:30:57] plate_detected; ['832825']
[07/09/2023, 04:30:57] plate_detected; ['BAN05662']
[07/09/2023, 04:30:58] plate_detected; ['ANNW']
[07/09/2023, 04:30:58] plate_detected; ['AAN8L3']
[07/09/2023, 04:30:58] plate_detected; ['AXNRFC9']

[07/09/2023, 05:42:11] plate_detected; ['ATN1262']
[07/09/2023, 05:42:11] plate_detected; ['ATN2K2']
[07/09/2023, 05:42:11] plate_detected; ['ATN1252']

[07/09/2023, 06:46:19] plate_detected; ['ATM6970']
[07/09/2023, 06:46:20] plate_detected; ['AKAR6720']
[07/09/2023, 06:46:20] plate_detected; ['AKR4720']
[07/09/2023, 06:46:20] plate_detected; ['AKK6721']
