[07/28/2023, 17:25:57] plate_detected; ['AA']
[07/28/2023, 17:25:57] plate_detected; ['AA']
[07/28/2023, 17:25:57] plate_detected; ['AA']
[07/28/2023, 17:25:57] plate_detected; ['AA']
[07/28/2023, 17:25:58] plate_detected; ['AA']
[07/28/2023, 17:25:58] plate_detected; ['AA']
[07/28/2023, 17:25:58] plate_detected; ['BA']
[07/28/2023, 17:26:00] plate_detected; ['TA211']
[07/28/2023, 17:26:00] plate_detected; ['1AT11']
[07/28/2023, 17:26:01] plate_detected; ['L58D62']
[07/28/2023, 17:26:01] plate_detected; ['068567']
[07/28/2023, 17:26:01] plate_detected; ['0685GZ']
[07/28/2023, 17:26:01] white_plate_detected; ['0685GZ']
[07/28/2023, 17:26:02] plate_detected; ['0655GZ', '0655GZAT711']
[07/28/2023, 17:26:02] plate_detected; ['0685GZ', '0685GZAT111']
[07/28/2023, 17:26:03] plate_detected; ['0685GZ', '0685GZAF1111']
[07/28/2023, 17:26:03] plate_detected; ['0685GZ', '0685GZAF111', '0685GZAF111BB11HP']
[07/28/2023, 17:26:04] plate_detected; ['0685GZ', '0685GZAT1T1A1']
[07/28/2023, 17:26:04] plate_detected; ['0685GZ', '0685GZAL111A1']
[07/28/2023, 17:26:04] plate_detected; ['0685GZ', '0685GZAT11111', '0685GZAT11111AP115HP']
[07/28/2023, 17:26:05] plate_detected; ['0685GZ', '0685GZAT1111']
[07/28/2023, 17:26:05] plate_detected; ['0685GZ', '0685GZAF1191']
[07/28/2023, 17:26:05] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:06] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:06] plate_detected; ['0685GZ', '0685GZAT111A11']
[07/28/2023, 17:26:07] plate_detected; ['0685GZ', '0685GZAT111A1', '0685GZAT111A1AHT1HP']
[07/28/2023, 17:26:07] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:08] plate_detected; ['0685GZ', '0685GZAT111A1', '0685GZAT111A1LPT1HP']
[07/28/2023, 17:26:08] plate_detected; ['0685GZ', '0685GZAT111A11']
[07/28/2023, 17:26:09] plate_detected; ['0685GZ', '0685GZAF11A11']
[07/28/2023, 17:26:09] plate_detected; ['0685GZ', '0685GZAT111A11']
[07/28/2023, 17:26:10] plate_detected; ['0685GZ', '0685GZTAF111']
[07/28/2023, 17:26:10] plate_detected; ['0685GZ', '0685GZBF1111']
[07/28/2023, 17:26:10] plate_detected; ['0685GZ', '0685GZAF11A11', '0685GZAF11A11AP11HY']
[07/28/2023, 17:26:11] plate_detected; ['0685GZ', '0685GZAT11A1', '0685GZAT11A1LH11HP']
[07/28/2023, 17:26:11] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:11] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:12] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:12] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:12] plate_detected; ['0685GZ', '0685GZAAA111']
[07/28/2023, 17:26:12] plate_detected; ['0685GZ', '0685GZAT1111']
[07/28/2023, 17:26:13] plate_detected; ['0685GZ', '0685GZAT1111']
[07/28/2023, 17:26:13] plate_detected; ['0685GZ', '0685GZTAA111']
[07/28/2023, 17:26:14] plate_detected; ['0685GZ', '0685GZAF1111', '0685GZAF1111BH115HP']
[07/28/2023, 17:26:14] plate_detected; ['0685GZ', '0685GZA111']
[07/28/2023, 17:26:14] plate_detected; ['0685GZ', '0685GZAT1111']
[07/28/2023, 17:26:14] plate_detected; ['0685GZ', '0685GZAF11A11']
[07/28/2023, 17:26:15] plate_detected; ['0685GZ', '0685GZAF11A11']
[07/28/2023, 17:26:15] plate_detected; ['0685GZ', '0685GZAT11111']
[07/28/2023, 17:26:15] plate_detected; ['0685GZ', '0685GZAF111A11']
[07/28/2023, 17:26:16] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:16] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:16] plate_detected; ['0685GZ', '0685GZAF111']
[07/28/2023, 17:26:17] plate_detected; ['0685GZ', '0685GZA1111', '0685GZA1111BT15HP']
[07/28/2023, 17:26:17] plate_detected; ['0685GZ', '0685GZAT1111']
[07/28/2023, 17:26:17] plate_detected; ['0685GZ', '0685GZAT1111']
[07/28/2023, 17:26:17] plate_detected; ['0685GZ', '0685GZTAA1111']
[07/28/2023, 17:26:18] plate_detected; ['0685GZ', '0685GZBA11A1', '0685GZBA11A1BH11HM']
[07/28/2023, 17:26:18] plate_detected; ['0685GZ', '0685GZAT111']
[07/28/2023, 17:26:19] plate_detected; ['0685GZ', '0685GZAF1111']
[07/28/2023, 17:26:19] plate_detected; ['0685GZ', '0685GZAT111A1']
[07/28/2023, 17:26:19] plate_detected; ['0685GZ', '0685GZAF11A19']
